horizon_H_digits,tail_length,candidate_digit,tail_anchor_matches,candidate_string,true_next_digit,is_true_continuation,note
500000,100,0,True,04248760251381952420,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,1,True,04248760251381952421,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,2,True,04248760251381952422,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,3,True,04248760251381952423,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,4,True,04248760251381952424,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,5,True,04248760251381952425,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,6,True,04248760251381952426,6,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,7,True,04248760251381952427,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,8,True,04248760251381952428,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,9,True,04248760251381952429,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,0,True,20901061057794581510,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,1,True,20901061057794581511,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,2,True,20901061057794581512,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,3,True,20901061057794581513,3,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,4,True,20901061057794581514,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,5,True,20901061057794581515,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,6,True,20901061057794581516,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,7,True,20901061057794581517,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,8,True,20901061057794581518,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,9,True,20901061057794581519,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,0,True,68710651914572979090,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,1,True,68710651914572979091,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,2,True,68710651914572979092,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,3,True,68710651914572979093,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,4,True,68710651914572979094,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,5,True,68710651914572979095,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,6,True,68710651914572979096,6,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,7,True,68710651914572979097,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,8,True,68710651914572979098,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,9,True,68710651914572979099,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
